timestamp,price,signal,usdt,coin_value,total_value,note,pnl,status
2025-07-24 00:16:00,0.416,BUY,530.4077551837864,529.8773474286027,1060.285102612389,🟢 Buy @50%,-0.5304077551838873,LOSS
2025-07-24 00:17:00,0.4146,SELL,794.1907613083715,264.04705317776285,1058.2378144861343,🔴 Sell @50%,-2.0472881262546707,LOSS
2025-07-24 00:18:00,0.4153,BUY,555.93353291586,502.5118346101511,1058.445367526011,🟢 Buy @30%,0.20755303987675688,WIN
2025-07-24 00:19:00,0.4159,SELL,807.3008304626304,251.6189164632336,1058.919746925864,🔴 Sell @50%,0.47437939985297817,WIN
2025-07-24 00:20:00,0.4166,BUY,322.9203321850522,735.9385332603854,1058.8588654454375,🟢 Buy @60%,-0.060881480426587586,LOSS
2025-07-24 00:21:00,0.4111,SELL,685.668515925236,363.111295035219,1048.779810960455,🔴 Sell @50%,-10.079054484982407,LOSS
2025-07-24 00:22:00,0.4124,BUY,479.96796114766516,569.7543970895514,1049.7223582372167,🟢 Buy @30%,0.9425472767616156,WIN
2025-07-24 00:23:00,0.414,BUY,239.98398057383258,811.7088860090548,1051.6928665828873,🟢 Buy @50%,1.9705083456706234,WIN
2025-07-24 00:24:00,0.4127,BUY,95.99359222953305,953.0064396369623,1049.0000318664954,🟢 Buy @60%,-2.6928347163918716,LOSS
2025-07-24 00:25:00,0.4137,SELL,573.1737537436275,477.6578193334278,1050.8315730770553,🔴 Sell @50%,1.8315412105598625,WIN
2025-07-24 00:26:00,0.4149,BUY,286.58687687181373,765.3436287463057,1051.9305056181195,🟢 Buy @50%,1.0989325410641868,WIN
2025-07-24 00:27:00,0.4126,BUY,114.63475074872551,932.8811169247207,1047.515867673446,🟢 Buy @60%,-4.414637944673359,LOSS
2025-07-24 00:28:00,0.4127,SELL,580.7218046967107,466.55360755554074,1047.2754122522515,🔴 Sell @50%,-0.2404554211946106,LOSS
2025-07-24 00:29:00,0.4128,BUY,406.5052632876975,640.7089815163253,1047.2142448040227,🟢 Buy @30%,-0.06116744822884357,LOSS
2025-07-24 00:30:00,0.4067,SELL,595.6882330841414,441.86879832335916,1037.5570314075005,🔴 Sell @30%,-9.657213396522138,LOSS
2025-07-24 00:31:00,0.401,SELL,726.2603000176596,304.97312930751644,1031.233429325176,🔴 Sell @30%,-6.323602082324442,LOSS
2025-07-24 00:32:00,0.4047,BUY,508.3822100123617,525.4473077525791,1033.8295177649409,🟢 Buy @30%,2.5960884397647987,WIN
2025-07-24 00:33:00,0.4032,BUY,254.19110500618086,777.4366778889184,1031.6277828950992,🟢 Buy @50%,-2.20173486984163,LOSS
2025-07-24 00:34:00,0.404,SELL,643.2912208906748,389.48960548998394,1032.7808263806587,🔴 Sell @50%,1.153043485559465,WIN
2025-07-24 00:35:00,0.4029,SELL,837.3115633286236,194.2145569949437,1031.5261203235673,🔴 Sell @50%,-1.2547060570914255,LOSS
2025-07-24 00:36:00,0.4025,BUY,418.6557816643118,612.2588662412101,1030.9146479055219,🟢 Buy @50%,-0.6114724180454232,LOSS
2025-07-24 00:37:00,0.4011,SELL,601.5115239386721,427.0904891293032,1028.6020130679753,🔴 Sell @30%,-2.3126348375465113,LOSS
2025-07-24 00:38:00,0.4036,SELL,730.3083434533872,300.826738939942,1031.1350823933292,🔴 Sell @30%,2.5330693253538357,WIN
2025-07-24 00:39:00,0.4039,BUY,365.1541717266936,665.8393640808405,1030.993535807534,🟢 Buy @50%,-0.14154658579514034,LOSS
2025-07-24 00:40:00,0.4018,SELL,696.0117134835568,331.1887304873505,1027.2004439709074,🔴 Sell @50%,-3.7930918366266724,LOSS
2025-07-24 00:41:00,0.403,SELL,795.5654138280187,232.52449196237328,1028.0899057903919,🔴 Sell @30%,0.8894618194844952,WIN
2025-07-24 00:42:00,0.4039,BUY,397.78270691400934,630.4287016353895,1028.2114085493988,🟢 Buy @50%,0.12150275900694396,WIN
