ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-11T02:39:22,2096,,2.99,cuda:0,11,26
2025-08-11T02:39:33,2080,,2.94,cuda:0,11,26
2025-08-11T02:39:37,2128,,2.97,cuda:0,11,26
2025-08-11T02:39:48,2112,,2.92,cuda:0,11,26
2025-08-11T02:39:52,2160,,2.95,cuda:0,11,26
2025-08-11T02:40:02,2144,,2.91,cuda:0,11,26
2025-08-11T02:40:07,2192,,2.94,cuda:0,11,26
2025-08-11T02:40:17,2176,,2.89,cuda:0,11,26
2025-08-11T02:40:22,2224,,2.92,cuda:0,11,26
2025-08-11T02:40:32,2208,,2.88,cuda:0,11,26
2025-08-11T02:40:35,2256,,2.91,cuda:0,11,26
2025-08-11T02:40:47,2240,,2.87,cuda:0,11,26
2025-08-11T02:40:49,2288,,2.9,cuda:0,11,26
2025-08-11T02:41:02,2272,,2.85,cuda:0,11,26
2025-08-11T02:41:04,2320,,2.89,cuda:0,11,26
2025-08-11T02:41:17,2304,,2.84,cuda:0,11,26
2025-08-11T02:41:18,2352,,2.88,cuda:0,11,26
2025-08-11T02:41:32,2336,,2.83,cuda:0,11,26
2025-08-11T02:41:34,2384,,2.86,cuda:0,11,26
2025-08-11T02:41:47,2368,,2.81,cuda:0,11,26
2025-08-11T02:41:48,2416,,2.85,cuda:0,11,26
2025-08-11T02:42:02,2400,,2.8,cuda:0,11,26
2025-08-11T02:42:03,2448,,2.84,cuda:0,11,26
2025-08-11T02:42:17,2432,,2.79,cuda:0,11,26
2025-08-11T02:42:17,2480,,2.83,cuda:0,11,26
2025-08-11T02:42:31,2512,,2.82,cuda:0,11,26
2025-08-11T02:42:31,2464,,2.78,cuda:0,11,26
2025-08-11T02:42:44,2544,,2.81,cuda:0,11,26
2025-08-11T02:42:46,2496,,2.77,cuda:0,11,26
2025-08-11T02:42:58,2576,,2.81,cuda:0,11,26
2025-08-11T02:43:00,2528,,2.76,cuda:0,11,26
2025-08-11T02:43:11,2608,,2.8,cuda:0,11,26
2025-08-11T02:43:15,2560,,2.76,cuda:0,11,26
2025-08-11T02:43:28,2640,,2.79,cuda:0,11,26
2025-08-11T02:43:30,2592,,2.74,cuda:0,11,26
2025-08-11T02:43:42,2672,,2.78,cuda:0,11,26
2025-08-11T02:43:45,2624,,2.73,cuda:0,11,26
2025-08-11T02:43:57,2704,,2.77,cuda:0,11,26
2025-08-11T02:43:59,2656,,2.73,cuda:0,11,26
2025-08-11T02:44:12,2736,,2.76,cuda:0,11,26
2025-08-11T02:44:14,2688,,2.72,cuda:0,11,26
2025-08-11T02:44:27,2768,,2.75,cuda:0,11,26
2025-08-11T02:44:28,2720,,2.71,cuda:0,11,26
2025-08-11T02:44:40,2800,,2.75,cuda:0,11,26
2025-08-11T02:44:42,2752,,2.71,cuda:0,11,26
2025-08-11T02:44:54,2832,,2.74,cuda:0,11,26
2025-08-11T02:44:57,2784,,2.7,cuda:0,11,26
2025-08-11T02:45:08,2864,,2.73,cuda:0,11,26
2025-08-11T02:45:11,2816,,2.69,cuda:0,11,26
2025-08-11T02:45:23,2896,,2.73,cuda:0,11,26
2025-08-11T02:45:27,2848,,2.68,cuda:0,11,26
2025-08-11T02:45:37,2928,,2.72,cuda:0,11,26
2025-08-11T02:45:41,2880,,2.68,cuda:0,11,26
2025-08-11T02:45:51,2960,,2.71,cuda:0,11,26
2025-08-11T02:45:57,2912,,2.67,cuda:0,11,26
2025-08-11T02:46:06,2992,,2.7,cuda:0,11,26
2025-08-11T02:46:13,2944,,2.66,cuda:0,11,26
2025-08-11T02:46:22,3024,,2.7,cuda:0,11,26
2025-08-11T02:46:28,2976,,2.65,cuda:0,11,26
2025-08-11T02:46:37,3056,,2.69,cuda:0,11,26
2025-08-11T02:46:43,3008,,2.64,cuda:0,11,26
2025-08-11T02:46:51,3088,,2.68,cuda:0,11,26
2025-08-11T02:46:59,3040,,2.64,cuda:0,11,26
2025-08-11T02:47:06,3120,,2.68,cuda:0,11,26
2025-08-11T02:47:13,3072,,2.63,cuda:0,11,26
2025-08-11T02:47:20,3152,,2.67,cuda:0,11,26
2025-08-11T02:47:27,3104,,2.63,cuda:0,11,26
2025-08-11T02:47:35,3184,,2.67,cuda:0,11,26
2025-08-11T02:47:42,3136,,2.62,cuda:0,11,26
2025-08-11T02:47:50,3216,,2.66,cuda:0,11,26
2025-08-11T02:47:57,3168,,2.61,cuda:0,11,26
2025-08-11T02:48:04,3248,,2.65,cuda:0,11,26
2025-08-11T02:48:12,3200,,2.61,cuda:0,11,26
2025-08-11T02:48:18,3280,,2.65,cuda:0,11,26
2025-08-11T02:48:26,3232,,2.61,cuda:0,11,26
2025-08-11T02:48:32,3312,,2.65,cuda:0,11,26
2025-08-11T02:48:41,3264,,2.6,cuda:0,11,26
2025-08-11T02:48:46,3344,,2.64,cuda:0,11,26
2025-08-11T02:48:55,3296,,2.6,cuda:0,11,26
2025-08-11T02:48:59,3376,,2.64,cuda:0,11,26
2025-08-11T02:49:09,3328,,2.59,cuda:0,11,26
2025-08-11T02:49:14,3408,,2.63,cuda:0,11,26
2025-08-11T02:49:23,3360,,2.59,cuda:0,11,26
2025-08-11T02:49:29,3440,,2.63,cuda:0,11,26
2025-08-11T02:49:38,3392,,2.58,cuda:0,11,26
2025-08-11T02:49:44,3472,,2.62,cuda:0,11,26
2025-08-11T02:49:53,3424,,2.58,cuda:0,11,26
2025-08-11T02:49:58,3504,,2.62,cuda:0,11,26
