ts,frame,symbol,step,avg_reward,ep_rew_mean
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:45.886029,1s,BTCUSDT,18,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:47.170033,1s,BTCUSDT,36,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
2025-08-16T04:55:48.798199,1s,BTCUSDT,54,0.0,nan
