ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-10T22:58:49,6096,,10.67,cuda:0,8,22
2025-08-10T22:58:55,5632,,9.83,cuda:0,8,22
2025-08-10T22:59:00,6208,,10.67,cuda:0,8,22
2025-08-10T22:59:06,5744,,9.85,cuda:0,8,22
2025-08-10T22:59:11,6320,,10.66,cuda:0,8,22
2025-08-10T22:59:17,5856,,9.85,cuda:0,8,22
2025-08-10T22:59:21,6432,,10.66,cuda:0,8,22
2025-08-10T22:59:27,5968,,9.87,cuda:0,8,22
2025-08-10T22:59:33,6544,,10.64,cuda:0,8,22
2025-08-10T22:59:38,6080,,9.88,cuda:0,8,22
2025-08-10T22:59:44,6656,,10.64,cuda:0,8,22
2025-08-10T22:59:49,6192,,9.89,cuda:0,8,22
2025-08-10T22:59:54,6768,,10.63,cuda:0,8,22
2025-08-10T23:00:00,6304,,9.89,cuda:0,8,22
2025-08-10T23:00:05,6880,,10.63,cuda:0,8,22
2025-08-10T23:00:11,6416,,9.9,cuda:0,8,22
2025-08-10T23:00:16,6992,,10.62,cuda:0,8,22
2025-08-10T23:00:22,6528,,9.9,cuda:0,8,22
2025-08-10T23:00:27,7104,,10.62,cuda:0,8,22
2025-08-10T23:00:33,6640,,9.91,cuda:0,8,22
2025-08-10T23:00:37,7216,,10.62,cuda:0,8,22
2025-08-10T23:00:43,6752,,9.92,cuda:0,8,22
2025-08-10T23:00:48,7328,,10.62,cuda:0,8,22
2025-08-10T23:00:54,6864,,9.93,cuda:0,8,22
2025-08-10T23:00:59,7440,,10.61,cuda:0,8,22
2025-08-10T23:01:05,6976,,9.93,cuda:0,8,22
2025-08-10T23:01:10,7552,,10.61,cuda:0,8,22
2025-08-10T23:01:16,7088,,9.94,cuda:0,8,22
2025-08-10T23:01:20,7664,,10.61,cuda:0,8,22
2025-08-10T23:01:26,7200,,9.95,cuda:0,8,22
2025-08-10T23:01:31,7776,,10.61,cuda:0,8,22
2025-08-10T23:01:37,7312,,9.96,cuda:0,8,22
2025-08-10T23:01:42,7888,,10.6,cuda:0,8,22
2025-08-10T23:01:48,7424,,9.96,cuda:0,8,22
2025-08-10T23:01:53,8000,,10.6,cuda:0,8,22
2025-08-10T23:01:59,7536,,9.97,cuda:0,8,22
2025-08-10T23:02:03,8112,,10.6,cuda:0,8,22
2025-08-10T23:02:09,7648,,9.98,cuda:0,8,22
2025-08-10T23:02:14,8224,,10.6,cuda:0,8,22
2025-08-10T23:02:20,7760,,9.98,cuda:0,8,22
2025-08-10T23:02:25,8336,,10.59,cuda:0,8,22
2025-08-10T23:02:31,7872,,9.99,cuda:0,8,22
2025-08-10T23:02:35,8448,,10.59,cuda:0,8,22
2025-08-10T23:02:41,7984,,9.99,cuda:0,8,22
2025-08-10T23:02:46,8560,,10.59,cuda:0,8,22
2025-08-10T23:02:52,8096,,10.0,cuda:0,8,22
2025-08-10T23:02:57,8672,,10.59,cuda:0,8,22
2025-08-10T23:03:03,8208,,10.01,cuda:0,8,22
2025-08-10T23:03:08,8784,,10.59,cuda:0,8,22
2025-08-10T23:03:14,8320,,10.01,cuda:0,8,22
2025-08-10T23:03:18,8896,,10.58,cuda:0,8,22
2025-08-10T23:03:24,8432,,10.02,cuda:0,8,22
2025-08-10T23:03:29,9008,,10.58,cuda:0,8,22
2025-08-10T23:03:35,8544,,10.02,cuda:0,8,22
2025-08-10T23:03:40,9120,,10.58,cuda:0,8,22
2025-08-10T23:03:46,8656,,10.03,cuda:0,8,22
2025-08-10T23:03:51,9232,,10.58,cuda:0,8,22
2025-08-10T23:03:57,8768,,10.03,cuda:0,8,22
2025-08-10T23:04:01,9344,,10.58,cuda:0,8,22
2025-08-10T23:04:07,8880,,10.04,cuda:0,8,22
2025-08-10T23:04:12,9456,,10.58,cuda:0,8,22
2025-08-10T23:04:18,8992,,10.04,cuda:0,8,22
2025-08-10T23:04:23,9568,,10.57,cuda:0,8,22
2025-08-10T23:04:29,9104,,10.05,cuda:0,8,22
2025-08-10T23:04:34,9680,,10.57,cuda:0,8,22
2025-08-10T23:04:40,9216,,10.05,cuda:0,8,22
2025-08-10T23:04:44,9792,,10.57,cuda:0,8,22
2025-08-10T23:04:50,9328,,10.05,cuda:0,8,22
2025-08-10T23:04:55,9904,,10.57,cuda:0,8,22
2025-08-10T23:05:01,9440,,10.06,cuda:0,8,22
2025-08-10T23:05:06,10016,,10.57,cuda:0,8,22
2025-08-10T23:05:12,9552,,10.06,cuda:0,8,22
2025-08-10T23:05:17,10128,,10.57,cuda:0,8,22
2025-08-10T23:05:23,9664,,10.07,cuda:0,8,22
2025-08-10T23:05:27,10240,,10.56,cuda:0,8,22
2025-08-10T23:05:33,9776,,10.07,cuda:0,8,22
2025-08-10T23:05:38,10352,,10.56,cuda:0,8,22
2025-08-10T23:05:44,9888,,10.07,cuda:0,8,22
2025-08-10T23:05:49,10464,,10.56,cuda:0,8,22
2025-08-10T23:05:55,10000,,10.08,cuda:0,8,22
2025-08-10T23:06:00,10576,,10.56,cuda:0,8,22
2025-08-10T23:06:05,10112,,10.08,cuda:0,8,22
2025-08-10T23:06:10,10688,,10.56,cuda:0,8,22
2025-08-10T23:06:16,10224,,10.09,cuda:0,8,22
2025-08-10T23:06:21,10800,,10.56,cuda:0,8,22
2025-08-10T23:06:27,10336,,10.09,cuda:0,8,22
2025-08-10T23:06:32,10912,,10.56,cuda:0,8,22
2025-08-10T23:06:38,10448,,10.09,cuda:0,8,22
2025-08-10T23:06:42,11024,,10.55,cuda:0,8,22
2025-08-10T23:06:48,10560,,10.1,cuda:0,8,22
2025-08-10T23:06:53,11136,,10.55,cuda:0,8,22
2025-08-10T23:06:59,10672,,10.1,cuda:0,8,22
2025-08-10T23:07:04,11248,,10.55,cuda:0,8,22
2025-08-10T23:07:10,10784,,10.1,cuda:0,8,22
2025-08-10T23:07:15,11360,,10.55,cuda:0,8,22
2025-08-10T23:07:21,10896,,10.11,cuda:0,8,22
2025-08-10T23:07:26,11472,,10.55,cuda:0,8,22
2025-08-10T23:07:31,11008,,10.11,cuda:0,8,22
2025-08-10T23:07:36,11584,,10.55,cuda:0,8,22
2025-08-10T23:07:42,11120,,10.11,cuda:0,8,22
2025-08-10T23:07:47,11696,,10.55,cuda:0,8,22
2025-08-10T23:07:53,11232,,10.12,cuda:0,8,22
2025-08-10T23:07:58,11808,,10.54,cuda:0,8,22
2025-08-10T23:08:04,11344,,10.12,cuda:0,8,22
2025-08-10T23:08:08,11920,,10.54,cuda:0,8,22
2025-08-10T23:08:14,11456,,10.12,cuda:0,8,22
2025-08-10T23:08:19,12032,,10.54,cuda:0,8,22
2025-08-10T23:08:25,11568,,10.12,cuda:0,8,22
2025-08-10T23:08:30,12144,,10.54,cuda:0,8,22
2025-08-10T23:08:36,11680,,10.13,cuda:0,8,22
2025-08-10T23:08:41,12256,,10.54,cuda:0,8,22
2025-08-10T23:08:47,11792,,10.13,cuda:0,8,22
2025-08-10T23:08:52,12368,,10.54,cuda:0,8,22
2025-08-10T23:08:58,11904,,10.13,cuda:0,8,22
2025-08-10T23:09:02,12480,,10.54,cuda:0,8,22
2025-08-10T23:09:08,12016,,10.13,cuda:0,8,22
2025-08-10T23:09:13,12592,,10.54,cuda:0,8,22
2025-08-10T23:09:19,12128,,10.14,cuda:0,8,22
2025-08-10T23:09:24,12704,,10.53,cuda:0,8,22
2025-08-10T23:09:30,12240,,10.14,cuda:0,8,22
2025-08-10T23:09:35,12816,,10.53,cuda:0,8,22
2025-08-10T23:09:41,12352,,10.14,cuda:0,8,22
2025-08-10T23:09:45,12928,,10.53,cuda:0,8,22
2025-08-10T23:09:51,12464,,10.14,cuda:0,8,22
2025-08-10T23:09:56,13040,,10.53,cuda:0,8,22
2025-08-10T23:10:02,12576,,10.15,cuda:0,8,22
2025-08-10T23:10:07,13152,,10.53,cuda:0,8,22
2025-08-10T23:10:13,12688,,10.15,cuda:0,8,22
2025-08-10T23:10:18,13264,,10.53,cuda:0,8,22
2025-08-10T23:10:24,12800,,10.15,cuda:0,8,22
2025-08-10T23:10:28,13376,,10.53,cuda:0,8,22
2025-08-10T23:10:34,12912,,10.15,cuda:0,8,22
2025-08-10T23:10:39,13488,,10.53,cuda:0,8,22
2025-08-10T23:10:45,13024,,10.15,cuda:0,8,22
