reason,risk_pct,ema_reward,drawdown,freeze_mode
Multiple entry signals active,0.7300,0.0000,0.0000,False
Multiple entry signals active,0.7300,0.0000,0.0000,False
Multiple entry signals active,0.7300,0.0000,0.0027,False
Multiple entry signals active,0.7300,0.0000,0.0027,False
Multiple entry signals active,0.7300,0.0000,0.0014,False
Multiple entry signals active,0.7300,0.0000,0.0026,False
Multiple entry signals active,0.7300,0.0000,0.0000,False
Multiple entry signals active,0.7300,0.0000,0.0000,False
Multiple entry signals active,0.7300,0.0000,0.0010,False
Multiple entry signals active,0.7500,0.0000,0.0000,False
Multiple entry signals active,0.7500,0.0000,0.0027,False
Multiple entry signals active,0.7500,0.0000,0.0037,False
Multiple entry signals active,0.7500,0.0000,0.0037,False
Multiple entry signals active,0.7500,0.0000,0.0000,False
Multiple entry signals active,0.7500,0.0000,0.0000,False
Multiple entry signals active,0.7500,0.0000,0.0027,False
Multiple entry signals active,0.7500,0.0000,0.0014,False
Multiple entry signals active,0.7500,0.0000,0.0027,False
Multiple entry signals active,0.7500,0.0000,0.0010,False
Multiple entry signals active,0.7500,0.0000,0.0000,False
Multiple entry signals active,0.7500,0.0000,0.0000,False
Multiple entry signals active,0.7500,0.0000,0.0026,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0027,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0037,False
Multiple entry signals active,0.7700,0.0000,0.0037,False
Multiple entry signals active,0.7700,0.0000,0.0027,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0027,False
Multiple entry signals active,0.7700,0.0000,0.0014,False
Multiple entry signals active,0.7700,0.0000,0.0037,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0010,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7700,0.0000,0.0026,False
Multiple entry signals active,0.7700,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0027,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0037,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0037,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0014,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.7900,0.0000,0.0027,False
Multiple entry signals active,0.7900,0.0000,0.0037,False
Multiple entry signals active,0.7900,0.0000,0.0026,False
Multiple entry signals active,0.7900,0.0000,0.0010,False
Multiple entry signals active,0.7900,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0027,False
Multiple entry signals active,0.8100,0.0000,0.0037,False
Multiple entry signals active,0.8100,0.0000,0.0037,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0027,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0010,False
Multiple entry signals active,0.8100,0.0000,0.0014,False
Multiple entry signals active,0.8100,0.0000,0.0037,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8100,0.0000,0.0026,False
Multiple entry signals active,0.8100,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0027,False
Multiple entry signals active,0.8300,0.0000,0.0037,False
Multiple entry signals active,0.8300,0.0000,0.0014,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0027,False
Multiple entry signals active,0.8300,0.0000,0.0010,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0027,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0037,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8300,0.0000,0.0026,False
Multiple entry signals active,0.8300,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0037,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0027,False
Multiple entry signals active,0.8500,0.0000,0.0037,False
Multiple entry signals active,0.8500,0.0000,0.0014,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0037,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0026,False
Multiple entry signals active,0.8500,0.0000,0.0010,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8500,0.0000,0.0027,False
Multiple entry signals active,0.8500,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0037,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0027,False
Multiple entry signals active,0.8700,0.0000,0.0037,False
Multiple entry signals active,0.8700,0.0000,0.0026,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0037,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0000,False
Multiple entry signals active,0.8700,0.0000,0.0010,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.8900,0.0000,0.0027,False
Multiple entry signals active,0.8900,0.0000,0.0037,False
Multiple entry signals active,0.8900,0.0000,0.0037,False
Multiple entry signals active,0.8900,0.0000,0.0027,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.8900,0.0000,0.0037,False
Multiple entry signals active,0.8900,0.0000,0.0026,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.8900,0.0000,0.0014,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.8900,0.0000,0.0010,False
Multiple entry signals active,0.8900,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0027,False
Multiple entry signals active,0.9100,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0027,False
Multiple entry signals active,0.9100,0.0000,0.0037,False
Multiple entry signals active,0.9100,0.0000,0.0014,False
Multiple entry signals active,0.9100,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0027,False
Multiple entry signals active,0.9100,0.0000,0.0026,False
Multiple entry signals active,0.9100,0.0000,0.0037,False
Multiple entry signals active,0.9100,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0000,False
Multiple entry signals active,0.9100,0.0000,0.0010,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9300,0.0000,0.0027,False
Multiple entry signals active,0.9300,0.0000,0.0027,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9300,0.0000,0.0037,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9300,0.0000,0.0027,False
Multiple entry signals active,0.9300,0.0000,0.0037,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9300,0.0000,0.0037,False
Multiple entry signals active,0.9300,0.0000,0.0014,False
Multiple entry signals active,0.9300,0.0000,0.0026,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9300,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0027,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0037,False
Multiple entry signals active,0.9500,0.0000,0.0027,False
Multiple entry signals active,0.9500,0.0000,0.0037,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0037,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0027,False
Multiple entry signals active,0.9500,0.0000,0.0014,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0000,False
Multiple entry signals active,0.9500,0.0000,0.0010,False
Multiple entry signals active,0.9500,0.0000,0.0026,False
Multiple entry signals active,0.9700,0.0000,0.0007,False
Multiple entry signals active,0.9700,0.0000,0.0027,False
Multiple entry signals active,0.9700,0.0000,0.0001,False
Multiple entry signals active,0.9700,0.0000,0.0037,False
Multiple entry signals active,0.9700,0.0000,0.0027,False
Multiple entry signals active,0.9700,0.0000,0.0045,False
Multiple entry signals active,0.9700,0.0000,0.0038,False
Multiple entry signals active,0.9700,0.0000,0.0021,False
Multiple entry signals active,0.9700,0.0000,0.0008,False
Multiple entry signals active,0.9700,0.0000,0.0001,False
Multiple entry signals active,0.9700,0.0000,0.0027,False
Multiple entry signals active,0.9700,0.0000,0.0000,False
Multiple entry signals active,0.9700,0.0000,0.0011,False
Multiple entry signals active,0.9700,0.0000,0.0008,False
Multiple entry signals active,0.9700,0.0000,0.0007,False
Multiple entry signals active,0.9700,0.0000,0.0027,False
Multiple entry signals active,0.9900,0.0000,0.0007,False
Multiple entry signals active,0.9900,0.0000,0.0027,False
Multiple entry signals active,0.9900,0.0000,0.0037,False
Multiple entry signals active,0.9900,0.0000,0.0045,False
Multiple entry signals active,0.9900,0.0000,0.0027,False
Multiple entry signals active,0.9900,0.0000,0.0027,False
Multiple entry signals active,0.9900,0.0000,0.0038,False
Multiple entry signals active,0.9900,0.0000,0.0008,False
Multiple entry signals active,0.9900,0.0000,0.0008,False
Multiple entry signals active,0.9900,0.0000,0.0021,False
Multiple entry signals active,0.9900,0.0000,0.0027,False
Multiple entry signals active,0.9900,0.0000,0.0000,False
Multiple entry signals active,0.9900,0.0000,0.0007,False
Multiple entry signals active,0.9900,0.0000,0.0011,False
Multiple entry signals active,1.0100,0.0000,0.0007,False
Multiple entry signals active,1.0100,0.0000,0.0001,False
Multiple entry signals active,1.0100,0.0000,0.0037,False
Multiple entry signals active,1.0100,0.0000,0.0045,False
Multiple entry signals active,1.0100,0.0000,0.0027,False
Multiple entry signals active,1.0100,0.0000,0.0008,False
Multiple entry signals active,1.0100,0.0000,0.0038,False
